Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
TerraGroup Office Upstairs Camping,"TerraGroup Office Upstairs Camping: Objective #1",2,0,99,"(-19.7, 29.7, 69.5)"
TerraGroup Office Upstairs Camping,"TerraGroup Office Upstairs Camping: Objective #2",2,0,99,"(-32.0, 29.7, 56.0)"
Underground North,"Underground North: Objective #1",1,0,99,"(55.7, 14.1, -29.1)"
Underground North,"Underground North: Objective #2",1,0,99,"(77.5, 14.0, -32.7)"
Underground North,"Underground North: Objective #3",1,0,99,"(87.3, 14.1, -21.8)"
Underground North,"Underground North: Objective #4",2,0,99,"(96.4, 14.0, -6.4)"
Underground North,"Underground North: Objective #5",1,0,99,"(102.8, 14.1, 3.8)"
Underground North,"Underground North: Objective #6",1,0,99,"(93.0, 14.0, 15.5)"
Underground North,"Underground North: Objective #7",2,0,99,"(68.0, 14.0, 24.5)"
Underground North,"Underground North: Objective #8",1,0,99,"(96.3, 14.0, 41.4)"
Underground Entrance,"Underground Entrance: Objective #1",1,0,99,"(98.5, 14.2, 54.0)"
Underground Entrance,"Underground Entrance: Objective #2",1,0,99,"(104.1, 14.1, 69.8)"
Underground Entrance,"Underground Entrance: Objective #3",1,0,99,"(130.7, 20.3, 70.9)"
Underground Utility Room,"Underground Utility Room: Objective #1",4,0,99,"(109.2, 12.5, 50.1)"
Underground South,"Underground South: Objective #1",1,0,99,"(74.2, 14.1, 125.6)"
Underground South,"Underground South: Objective #2",1,0,99,"(92.8, 14.1, 142.3)"
Underground South,"Underground South: Objective #3",2,0,99,"(68.2, 13.9, 162.8)"
Underground South,"Underground South: Objective #4",1,0,99,"(81.9, 14.2, 180.0)"
Tarbank Stairwell Camping,"Tarbank Stairwell Camping: Objective #1",2,0,99,"(50.2, 26.4, 149.5)"
Capital Insight Stairwell Camping,"Capital Insight Stairwell Camping: Objective #1",2,0,99,"(134.7, 32.9, 270.0)"
Capital Insight Cafe Camping,"Capital Insight Cafe Camping: Objective #1",2,0,99,"(117.3, 32.8, 289.0)"
Capital Insight Quest Room Camping,"Capital Insight Quest Room Camping: Objective #1",2,0,99,"(110.5, 32.8, 274.0)"
